id;start_date;end_date;language
1;2020-07-26T15:58:55;2020-07-26T13:49:10;SPANISH
2;2020-07-25T20:49:06;2020-07-26T15:53:31;SPANISH
3;2020-07-26T11:44:25;2020-07-25T22:18:34;FRENCH
4;2020-07-26T03:01:56;2020-07-26T14:33:22;FRENCH
5;2020-07-26T12:32:14;2020-07-26T17:19:13;FRENCH
6;2020-07-26T06:24:35;2020-07-26T18:32:49;FRENCH
7;2020-07-26T08:09:55;2020-07-26T02:00:46;FRENCH
8;2020-07-26T07:06:08;2020-07-26T17:22:16;SPANISH
9;2020-07-26T05:47:17;2020-07-26T02:28:40;SPANISH
10;2020-07-26T13:59:21;2020-07-26T00:33:51;SPANISH
